appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime
434540,1,0,0,2,4,0,0
434570,1,0,36,16822,995,1203,140
434600,1,0,3,31,11,0,0
434650,1,0,81,11930,1392,881,679
434660,1,0,35,62,2,0,0
434680,1,0,12,105,65,241,241
434700,1,0,27,13,3,0,0
434730,1,0,18,2174,560,53,53
434740,1,0,20,92,19,52,52
434750,1,0,18,33,2,0,0
434780,1,0,19,32,19,0,0
434790,1,0,18,11,4,0,0
434800,1,0,0,18,9,240,246
434820,1,0,13,51,13,0,0
434860,1,0,16,13,3,0,0
434870,1,0,12,5,5,0,0
434880,1,0,12,83,38,0,0
434890,1,0,0,29,22,209,219
434920,1,0,0,24,8,220,220
434960,1,0,6,4,6,0,0
434970,1,0,40,2,1,0,0
434980,1,0,0,48,13,0,0
435000,1,0,0,26,7,0,0
435010,1,0,13,18,23,0,0
435020,1,0,59,54,23,0,0
435030,1,0,46,3769,309,23,23
435040,1,0,34,41,12,0,0
435050,1,0,0,2,4,0,0
435070,1,0,0,7,10,0,0
435080,1,0,0,1,2,0,0
435100,1,18,15,155,47,277,277
435120,1,0,0,1311,86,205,205
435140,1,0,0,32,8,228,225
435150,1,0,97,44145,2464,2938,1953
435230,1,0,0,5,16,0,0
435250,1,0,0,66,6,0,0
435260,1,0,32,23,4,0,0
435300,1,0,5,371,33,0,0
435360,1,0,54,51,6,0,0
435400,1,0,7,4514,161,87,118
435420,1,0,0,26,15,0,0
435440,1,0,97,180,166,17,17
435460,1,0,73,58,7,0,0
435480,1,0,20,96,50,0,0
435490,1,0,66,206,14,0,0
435530,1,0,23,3383,649,199,251
435600,1,0,41,19,10,0,0
435780,1,0,0,9,7,0,0
435790,1,0,12,135,17,2,2
435800,1,0,21,53,5,0,0
435840,1,0,20,32,4,0,0
435970,1,0,44,55,0,280,280
436000,1,0,9,69,23,556,556
436060,1,0,8,13,6,0,0
436070,1,0,23,22,3,0,0
436110,1,0,0,807,209,19,19
436140,1,0,15,31,12,513,513
436150,1,0,32,2163,866,1848,2515
436160,1,0,0,164,142,0,0
436180,1,16,32,1170,1209,62,90
436220,1,0,13,136,8,0,0
436230,1,0,47,138,38,0,0
436240,1,0,0,14,6,0,0
436260,1,0,1,123,100,0,0
